plad_id,leader,country,startyear,endyear,adm1,adm0,foreign_leader,geo_precision,latitude,longitude
TAW_2000_1,Chen Shui-bian,Taiwan,2000,2008,Tainan,Taiwan,0,3,23.19487762451172,120.3550796508789
TAW_2008_1,Ma Ying-jeou,Taiwan,2008,2016,Yau Tsim Mong,Hong Kong,1,3,22.313800811767578,114.16857147216797
TAW_2016_1,Tsai Ing-Wen,Taiwan,2016,2023,Taipei,Taiwan,0,1,25.066669464111328,121.53333282470703
TAZ_1985_1,Mwinyi,Tanzania,1985,1995,Pwani,Tanzania,0,4,-7.25,38.83332824707031
TAZ_1995_1,Mkapa,Tanzania,1995,2005,Mtwara,Tanzania,0,1,-10.916669845581055,38.900001525878906
TAZ_2005_1,Kikwete,Tanzania,2005,2015,Pwani,Tanzania,0,1,-6.566669940948486,38.29999923706055
TAZ_2015_1,John Magufuli,Tanzania,2015,2021,Geita,Tanzania,0,1,-2.6333301067352295,31.76667022705078
TAZ_2021_1,Samia Suluhu Hassan,Tanzania,2021,2023,Zanzibar South and Central,Tanzania,0,1,-6.409999847412109,39.54999923706055
THI_1988_1,Choonhavan,Thailand,1988,1991,Bangkok Metropolis,Thailand,0,1,13.751495361328125,100.51084899902344
THI_1991_1,Panyarachun,Thailand,1991,1992,Bangkok Metropolis,Thailand,0,4,13.753979682922363,100.5014419555664
THI_1992_1,Kraprayoon,Thailand,1992,1992,Bangkok Metropolis,Thailand,0,1,13.765509605407715,100.46987915039062
THI_1992_2,Panyarachun,Thailand,1992,1992,Bangkok Metropolis,Thailand,0,4,13.753979682922363,100.5014419555664
THI_1992_3,Leekpai,Thailand,1992,1995,Trang,Thailand,0,3,7.609439849853516,99.61772155761719
THI_1995_1,Silpa-Archa,Thailand,1995,1996,Suphan Buri,Thailand,0,4,14.474489212036133,100.11771392822266
THI_1996_1,Chavalit Yongchaiyudh,Thailand,1996,1997,Nonthaburi,Thailand,0,1,13.862106323242188,100.51437377929688
THI_1997_1,Leekpai,Thailand,1997,2001,Trang,Thailand,0,3,7.609439849853516,99.61772155761719
THI_2001_1,Thaksin Shinawatra,Thailand,2001,2006,Chiang Mai,Thailand,0,3,18.748655319213867,99.16775512695312
THI_2006_1,Chulanont,Thailand,2006,2008,Prachin Buri,Thailand,0,4,14.047800064086914,101.37249755859375
THI_2008_1,Sundaravej,Thailand,2008,2008,Bangkok Metropolis,Thailand,0,4,13.753979682922363,100.5014419555664
THI_2008_2,Wongsawat,Thailand,2008,2008,Nakhon Si Thammarat,Thailand,0,3,8.434011459350586,99.5228500366211
THI_2008_3,Chanweerakul,Thailand,2008,2008,Bangkok Metropolis,Thailand,0,4,13.753979682922363,100.5014419555664
THI_2008_4,Vejjajiva,Thailand,2008,2011,England,United Kingdom,1,1,54.97328186035156,-1.6139600276947021
THI_2011_1,Yingluck Shinawatra,Thailand,2011,2014,Chiang Mai,Thailand,0,3,18.748655319213867,99.16775512695312
THI_2014_1,Niwattumrong Boonsongpaisan,Thailand,2014,2014,Bangkok Metropolis,Thailand,0,4,13.753979682922363,100.5014419555664
THI_2014_2,Prayuth Chan-ocha,Thailand,2014,2023,Nakhon Ratchasima,Thailand,0,4,14.970000267028809,102.10195922851562
THI_2023_1,Srettha Thavisin,Thailand,2023,2023,Bangkok Metropolis,Thailand,0,4,13.753979682922363,100.5014419555664
TKM_1990_1,Niyazov,Turkmenistan,1990,2006,Ahal,Turkmenistan,0,1,38.0174446105957,58.25267028808594
TKM_2006_1,Gurbanguly Berdymukhammedov,Turkmenistan,2006,2022,Ahal,Turkmenistan,0,1,38.0985221862793,58.112430572509766
TKM_2022_1,Serdar Berdymukhammedov,Turkmenistan,2022,2023,Asgabat,Turkmenistan,0,1,37.95000076293945,58.383331298828125
TOG_1967_2,Eyadema,Togo,1967,2005,Kara,Togo,0,1,9.671239852905273,1.1401000022888184
TOG_2005_1,Faure Gnassingbe,Togo,2005,2005,Maritime,Togo,0,1,6.2179999351501465,1.4477900266647339
TOG_2005_2,Bonfoh,Togo,2005,2005,Kara,Togo,0,1,9.457999229431152,0.812736988067627
TOG_2005_3,Faure Gnassingbe,Togo,2005,2023,Maritime,Togo,0,1,6.2179999351501465,1.4477900266647339
TRI_1986_1,Robinson,Trinidad and Tobago,1986,1991,Tobago,Trinidad and Tobago,0,1,11.187000274658203,-60.730201721191406
TRI_1991_1,Manning,Trinidad and Tobago,1991,1995,San Fernando,Trinidad and Tobago,0,1,10.301600456237793,-61.44900131225586
TRI_1995_1,Panday,Trinidad and Tobago,1995,2001,Princes Town,Trinidad and Tobago,0,1,10.272700309753418,-61.341400146484375
TRI_2001_1,Manning,Trinidad and Tobago,2001,2010,San Fernando,Trinidad and Tobago,0,1,10.301600456237793,-61.44900131225586
TRI_2010_1,Kamla Persad-Bissessar,Trinidad and Tobago,2010,2015,Siparia,Trinidad and Tobago,0,1,10.090999603271484,-61.525299072265625
